question,answer,chunk_id,topic,dataset_type
Regina Willoughbyにとって、Columbia City Balletでのこのシーズンはどのような意味がありますか？,Regina Willoughbyにとって、これはColumbia City Balletでの最後のシーズンです。彼女は3月に舞台を引退する予定で、娘Melinaの初シーズンと重なっています。,cc_news_1per_chunk_0,最後のシーズン,cc_news_1per_chunks
Melina WilloughbyはColumbia City Balletでどのようにキャリアを始めたのですか？,18歳のMelina Willoughbyは、このシーズンが同カンパニーでの初シーズンです。彼女はトレーニーとしてキャリアを始めました。,cc_news_1per_chunk_0,初シーズン,cc_news_1per_chunks
『The Nutcracker』ではReginaとMelinaはそれぞれどんな役で同時に出演していますか？,ReginaはSnow Queenを務め、Melinaはsnow corpsに入っています。さらに、2人はArabian divertissementでも同じ舞台に立っています。,cc_news_1per_chunk_0,親子共演,cc_news_1per_chunks
親子で同じ舞台に立つことについて、Reginaはどう感じていますか？,Reginaは「一緒に踊るのはとてもシュール」と語っています。また、Melinaがバレエをここまで続けるとは思っていなかったとも話しています。,cc_news_1per_chunk_0,Reginaの感想,cc_news_1per_chunks
NYCBはどのような暫定リーダーシップ体制を発表しましたか？,ニューヨーク・シティ・バレエ団（NYCB）の理事会は、ピーター・マーティンズの休職中に芸術面を運営する暫定チームを発表しました。,cc_news_1per_chunk_1,暫定体制,cc_news_1per_chunks
ピーター・マーティンズはなぜ休職し、何が行われていますか？,マーティンズはNYCBとスクール・オブ・アメリカン・バレエの両方から一時休職を申し出ており、団体では彼に向けられたセクハラ疑惑について内部調査が進められています。,cc_news_1per_chunk_1,休職と調査,cc_news_1per_chunks
NYCBの4人の暫定チームのメンバーは誰ですか？,暫定チームは、ジョナサン・スタフォード、ジャスティン・ペック、クレイグ・ホール、レベッカ・クローンの4人で構成されています。,cc_news_1per_chunk_1,構成メンバー,cc_news_1per_chunks
暫定チームの役割と任期について、何が分かっていますか？,チームは日々の芸術面の運営、具体的にはスケジュール調整、配役、リハーサル পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল পরিচাল,cc_news_1per_chunk_1,役割と任期,cc_news_1per_chunks
ペンシルベニア・バレエとボストン・バレエは、スーパーボウル向けに何を披露したのですか？,両バレエ団は、試合当日を祝ってスーパーボウルをテーマにした振付を披露しました。通常のリハーサルの合間に、地域のチームを応援する演目を踊っています。,cc_news_1per_chunk_2,スーパーボウル演目,cc_news_1per_chunks
ペンシルベニア・バレエの演目は、イーグルスをどう意識していましたか？,ダンサーたちはイーグルスを意識した緑の衣装で登場し、フェッテ回転、高いジャンプ、白鳥の腕の動きを含む速い振付を披露しました。,cc_news_1per_chunk_2,イーグルス衣装,cc_news_1per_chunks
ボストン・バレエはどのように動画を公開し、誰が出演しましたか？,ボストン・バレエはFacebookで自分たちの動画を公開しました。主演はプリンシパルのポール・クレイグとソリストのデレク・ダンです。,cc_news_1per_chunk_2,Facebook動画,cc_news_1per_chunks
ボストン・バレエは『プロディガル・サン』の小道具を使って、どんな要素を加えましたか？,『プロディガル・サン』の小道具を使い、バランシン風のトリックを加えました。記事では、そうした工夫で演目に独自の味を出したと述べています。,cc_news_1per_chunk_2,バランシン風要素,cc_news_1per_chunks
この文では、何が「公式に新しいお気に入りの方法」だと言っていますか？,フットボールの楽しさを味わうための新しい方法が、公式にお気に入りだと言っています。,cc_news_1per_chunk_3,football fun,cc_news_1per_chunks
