chunk_id,text,tokens,chunk_idx,dataset_type,type,sentence_count,source_file
wikipedia_ja_5per_chunk_0,"アンパサンド アンパサンド（&, ）は、並立助詞「…と…」を意味する記号である。ラテン語で「…と…」を表す接続詞 ""et"" の合字を起源とする。現代のフォントでも、Trebuchet MS など一部のフォントでは、""et"" の合字であることが容易にわかる字形を使用している。 語源 英語で教育を行う学校でアルファベットを復唱する場合、その文字自体が単語となる文字（""A"", ""I"", かつては ""O"" も）については、伝統的にラテン語の per se（それ自体）を用いて ""A per se A"" のように唱えられていた。また、アルファベットの最後に、27番目の文字のように ""&"" を加えることも広く行われていた。""&"" はラテン語で et と読まれていたが、のちに英語で and と読まれるようになった。結果として、アルファベットの復唱の最後は ""X, Y, Z, and per se and"" という形になった。この最後のフレーズが繰り返されるうちに ""ampersand"" となまっていき、この言葉は1837年までには英語の一般的な語法となった。アンドレ＝マリ・アンペールがこの記号を自身の著作で使い、これが広く読まれたため、この記号が ""Ampère's and"" と呼ばれるようになったという誤った語源俗説がある。 歴史 アンパサンドの起源は1世紀の古ローマ筆記体にまでさかのぼることができる。古ローマ筆記体では、E と T はしばしば合字として繋げて書かれていた（左図「アンパサンドの変遷」の字形1）。それに続く、流麗さを増した新ローマ筆記体では、さまざまな合字が極めて頻繁に使われるようになった。字形2と3は4世紀中頃における et の合字の例である。その後、9世紀のカロリング小文字体に至るラテン文字の変遷の過程で、合字の使用は一般には廃れていった。しかし、et の合字は使われ続け、次第に元の文字がわかりにくい字形に変化していった（字形4から6）。 現代のイタリック体のアンパサンドは、ルネサンス期に発展した筆記体での et の合字にさかのぼる。1455年のヨーロッパにおける印刷技術の発明以降、印刷業者はイタリック体とローマ筆記体のアンパサンドの両方を多用するようになった。アンパサンドのルーツはローマ時代にさかのぼるため、ラテンアルファベットを使用する多くの言語でアンパサンドが使用されるようになった。 アンパサンドはしばしばラテンアルファベットの最後の文字とされることがあった。たとえば1011年のByrhtferthの文字表がその例である。同様に、""&"" は英語アルファベットの27番目の文字とされ、アメリカ合衆国やその他の地域でも、子供達はアンパサンドはアルファベットの最後の文字だと教えられていた。1863年の M. B. Moore の著書 The Dixie Primer, for the Little Folks にその一例を見ることができる。ジョージ・エリオットは、1859年に発表した小説「」の中で、Jacob Storey に次のセリフを語らせている。""He thought it [Z] had only been put to finish off th' alphabet like; though ampusand would ha' done as well, for what he could see."" よく知られた童謡の Apple Pie ABC は ""X, Y, Z, and ampersand, All wished for a piece in hand"" という歌詞で締めくくられる。アンパサンドは、ティロ式記号の et (""⁊"", Unicode U+204A) とは別のものである。ティロ式記号の et は、アンパサンドと意味は同じだが数字の「7」に似た形の記号である。両者はともに古代から使用され、中世を通してラテン語の et を表すために使用された。しかし、アンパサンドとティロ式記号の et はそれぞれ独立に発明されたものである。ラテン文字から発展した古アイルランド語の文字では、アイルランド語の agus（「…と…」）を表すためにティロ式記号の et が使用されていた。今日はゲール文字の一部として主に装飾的な目的で使用されている。この文字はアイルランドにおけるキリスト教時代初期に修道院の影響によって書き文字に加わった可能性がある。 手書き 日常的な手書きの場合、欧米では小文字の （エプシロン）を大きくしたもの（あるいは数字の ""3"" の鏡文字）に縦線を加えた形の単純化されたアンパサンドがしばしば使われる。また、エプシロンの上下に縦線または点を付けたものもしばしば使われる。くだけた用法として、プラス記号（""+"", この記号もまた et の合字である）がアンパサンドの代わりに使われることがある。また、プラス記号に輪を重ねたような、無声歯茎側面摩擦音を示す発音記号「」のようなものが使われることもある。 同様の記号 ティロの速記には「et」を表すための「」(U+204A Tironian sign et)がある。この文字はドイツのフラクトゥールで使われたほか、ゲール文字でも使用される。ギリシア文字では「……と」を意味するを表すための合字として「」(U+03D7 Greek kai symbol)が使われることがある。 プログラミング言語 プログラミング言語では、C など多数の言語で AND 演算子として用いられる。以下は C の例。X = A && B のように2個重ねたものは論理 AND を表す。この場合 A, B がともに真ならば X も真、それ以外は偽である。0x12345678 & 0x0f0f0f0f のように1個であればビット AND を表す。この場合の結果は 0x02040608 である。PHPでは、変数宣言記号（$）の直前に記述することで、参照渡しを行うことができる。BASIC 系列の言語では文字列の連結演算子として使用される。""foo"" & ""bar"" は ""foobar"" を返す。また、主にマイクロソフト系では整数の十六進表記に &h を用い、&h0F （十進で15）のように表現する。 SGML、XML、HTMLでは、アンパサンドを使ってSGML実体を参照する。 符号位置 脚注 外部リンク 約物 ラテン語の語句 論理記号",2319,0,wikipedia_ja_5per,llm_chunk,53,wikipedia_ja_5per.csv
wikipedia_ja_5per_chunk_1,言語 言語（げんご）は、狭義には「声による記号の体系」をいう。広辞苑や大辞泉には次のように解説されている。人間が音声や文字を用いて思想・感情・意志等々を伝達するために用いる記号体系。およびそれを用いる行為（広辞苑）。音声や文字によって、人の意志・思想・感情などの情報を表現したり伝達する、あるいは他者のそれを受け入れ、理解するための約束・規則。および、そうした記号の体系（大辞泉）。ある特定の集団が用いる、音や文字による事態の伝達手段（個別言語のことで、英語・フランス語・日本語などのこと）。ソシュールの用語「langue ラング」の日本語での訳語。『日本大百科全書』では、「言語」という語は多義である、と解説さ れ、大脳のに蓄えられた《語彙と文法規則の体系》を指すこともあり、その体系を用いる能力としてとらえることもある、と解説され、一方では、抽象的に「すべての人間が共有する言語能力」を指すこともあり、「個々の個別言語」を指すこともある、と解説されている。 広義の言語には、verbalな（言葉に表す）ものとnon-verbalな（言葉として表されない）もの（各種記号、アイコン、図形、ボディーランゲージ等）の両方を含み、日常のコミュニケーションでは狭義の言語表現に身振り、手振り、図示、擬音等も加えて表現されることもある。 概説 言語は、人間が用いる意志伝達手段であり、社会集団内で形成習得され、意志を相互に伝達することや、抽象的な思考を可能にし、結果として人間の社会的活動や文化的活動を支えている。言語には、文化の特徴が織り込まれており、共同体で用いられている言語の習得をすることによって、その共同体での社会的学習、および人格の形成をしていくことになる。 ソシュールの研究が、言語学の発展の上で非常に重要な役割を果たしたわけであるが、ソシュール以降は、「共同体の用いる言語体系」のことは「langue ラング」と呼ばれ、それに対して、個々の人が行う言語活動は「parole パロール」という用語で呼ばれるようになっている。 《音韻》 と 《意味》の間の結び付け方、また、《文字》と音韻・形態素・単語との間の結び付け方は、社会的に作られている習慣である。 言語と非言語の境界が問題になるが、文字を使う方法と文字を用いない方法の区別のみで、言語表現を非言語表現から区別することはできない。抽象記号には文字表現と非文字表現（積分記号やト音記号など）があり、文字表現は言語表現と文字記号に分けられる。言語表現と区別される文字記号とは、文字を使っているが語（word）でないものをいい、化学式H2Oなどがその例である。化学式は自然言語の文法が作用しておらず、化学式独特の文法で構成されている。 言語にはさまざまな分類がある。口語、口頭言語、書記言語、文語、といった分類があるが、重なる部分もありはっきり分類できるものでもない。 また屈折語・膠着語・孤立語といったような分類もある。詳細は言語類型論を参照。,1357,1,wikipedia_ja_5per,llm_chunk,22,wikipedia_ja_5per.csv
wikipedia_ja_5per_chunk_2,言語的表現は読み上げによって音声表現、点字化により触覚表現に変換されるが、言語的表現の特性は保存され、視覚的に表現されたものと同等に取り扱うことができる。 手話に関しては「日本語対応手話」は一般の日本語の話し言葉や書き言葉と同一の言語の「視覚言語バージョン」であるが、「日本手話」は一般の日本語とは異なる言語と考えられており、そちらは音声言語や文字言語とは異なる「視覚言語」ということになるなど、分類は単純ではない。 以上の自然発生的な「自然」言語の他、近代以降、エスペラントなどの国際補助語など、人工言語も作られた。 自然言語以外については、人工言語・形式言語・コンピュータ言語などの各記事を参照。 ジャック・デリダという、一般にポスト構造主義の代表的哲学者と位置づけられているフランスの哲学者は、「声」を基礎とし文字をその代替とする発想が言語学に存在する、と主張し、それに対する批判を投げかける立場を主張した。『グラマトロジーについて』と「差延」の記事も参照。,478,2,wikipedia_ja_5per,llm_chunk,6,wikipedia_ja_5per.csv
wikipedia_ja_5per_chunk_3,個別言語は、民族の滅亡や他言語による吸収によって使用されなくなることがある。このような言語は死語と呼ばれ、死語が再び母語として使用されたことは歴史上にただ一例、ヘブライ語の例しかない。しかし、ヘブライ語は自然に復活したわけでも完全に消滅していたわ けでもなく、文章語として存続していた言語を、パレスチナに移住したユダヤ人たちが20世紀に入って日常語として人工的に復活させ、イスラエル建国とともに公用語に指定して完全に再生させたものである。このほかにも、古典アラビア語、ラテン語、古典ギリシア語のように、日常語としては消滅しているものの文章語としては存続している言語も存在する。このほか、日常ではもはや用いられず、教典や宗教行為のみに用いられるようになった典礼言語も存在する。 近年、話者数が非常に少ない言語が他言語に飲み込まれて消滅し、新たに死語と化すことが問題視されるようになり、消滅の危機にある言語を危機言語と呼ぶようになった。これは、世界の一体化が進み、交通網の整備や流通の迅速化、ラジオ・テレビといったマスメディアの発達によってそれまで孤立を保っていた小さな言語がそのコミュニティを維持できなくなるために起こると考えられている。より大きな視点では英語の国際語としての勢力伸張による他主要言語の勢力縮小、いわゆる英語帝国主義もこれに含まれるといえるが、すくなくとも21世紀初頭においては英語を母語とする民族が多数派を占める国家を除いては英語のグローバル化が言語の危機に直結しているわけではない。 言語消滅は、隣接したより大きな言語集団との交流が不可欠となり、その言語圏に小言語集団が取り込まれることによって起きる。こうした動きは人的交流や文化的交流が盛んな先進国内においてより顕著であり、北アメリカやオーストラリアなどで言語消滅が急速に進み、経済成長と言語消滅との間には有意な相関があるとの研究も存在する。その他の地域においても言語消滅が進んでおり、2010年にはインド領のアンダマン諸島において言語が一つ消滅し、他にも同地域において消滅の危機にある言語が存在するとの警告が発せられた。世界に存在する自然言語の一覧は言語の一覧を参照,1033,3,wikipedia_ja_5per,llm_chunk,12,wikipedia_ja_5per.csv
wikipedia_ja_5per_chunk_4,"歴史 起源 言語がいつどのように生まれたのか分かっておらず、複数の仮説が存在する。例えばデンマークの言語学者オットー・イェスペルセンは、以下のような仮説を列挙している。プープー説(""Pooh-pooh"" theory) 思わず出た声から感情に関する語が出来たもの。爆笑から""laugh""「わらう」「ショウ（笑）」、嫌う声から""hate""「きらい」「ケン（嫌）」など。ワンワン説(""Bow Bow"" theory) 鳴き声から動物に関する語が出来たもの。「モウ～」から""cow""「うし」「ギュウ（牛）」、「ワオ～ン」から""wolf""「おおかみ」「ロウ （狼）」など。ドンドン説(""Ding-dong"" theory) 音響から自然物に関する語が出来たもの。「ピカッ！ゴロゴロ」から""thunder""「かみなり」「ライ（雷）」、「ザーッ…」から""water""「みず」「スイ（水）」など。エイヤコーラ説(""Yo-he-ho"" theory) かけ声から行動に関する語が出来たもの。停止を促す声から""stop""「とまる」「テイ（停）」、働く時の声から""work""「はたらく」「ロウ（労）」など。この説は、集団行動をとる時の意味の無いはやし歌が、世界各地に残っている事からも裏付けられる。なお、言語が生まれたのが地球上の一ヶ所なのか、複数ヶ所なのかも分かっていない。 生物学的な観点から言語の起源を探ろうという試みもある。最近の分子生物学的研究によれば、FOXP2と名づけられている遺伝子に生じたある種の変異が言語能力の獲得につながった可能性がある。さらにその変異は現生人類とネアンデルタール人が分 化する以前の30-40万年前にはすでに生じていたとの解析結果が発表されており、現生人類が登場とともに既に言語を身につけていた可能性も考えられる。しかしFOXP2は言語能力を有しない他の動物の多くが持っていること、FOXP2の変異が言語能力の獲得の必要条件であるとの直接的な証明はまだなされていないことなどに留意する必要がある。",818,4,wikipedia_ja_5per,llm_chunk,17,wikipedia_ja_5per.csv
wikipedia_ja_5per_chunk_5,変化 生物の場合には、進化が止まった生物が現在も生き残っている「生きている化石」と呼ばれるものがある。また、一見似ている2種類が全然別の種類から進化していたというケースもある。 言語にも同じような現象が起きており、その変化の速度は一定ではなく、侵略・交易・移動等他民族との接触が多ければ、その時言語も大きく変化する。代表例として英語、フランス語、ルーマニア語、アルバニア語、アルメニア語等がある。 逆に接触が少ないとほとんど変化しなくなる。代表例としてドイツ語、アイスランド語、ギリシャ語、スラヴ語派、バルト語派、サンスクリット語等があり、特にアイスランド語は基本文法が1000年前とほとんど変っていない。 言語はもともといくつかの祖語から分化したと考えられており、同一の祖語から発生したグループを語族と呼ぶ。語族はさらに語派、語群、そして言語と細分化されていく。世界の大多数の言語はなんらかの語族に属するが、なかには現存する他の言語と系統関係が立証されておらず、語族に分類できない孤立した言語も存在する。また、地理・文化的に近接する異なった系統の言語が相互に影響しあい顕著に類似する事例も見られ、これは言語連合と呼ばれる。 同一語族に属する言語群の場合、共通語彙から言語の分化した年代を割り出す方法も考案されている。 一つの言語の言語史を作る場合、単語・綴り・発音・文法等から古代・中世・近代と3分割し、例えば「中世フランス語」等と呼ぶ。,687,5,wikipedia_ja_5per,llm_chunk,12,wikipedia_ja_5per.csv
wikipedia_ja_5per_chunk_6,ある言語と他の言語が接触した場合、両言語の話者の交流が深まるにつれて様々な変化が発生する。これを言語接触という。言語接触によって、両言語には相手の言語から語彙を借用した借用語が発生するほか、交流が深まるにつれて商業や生活上の必要から混成言語が発生することがある。この混成言語は、初期にはピジン言語と呼ばれる非常に簡略化された形をとるが、やがて語彙が増え言語として成長してくると、『クレオール言語という「新しい言語」となった』と見なす。 クレオール言語はピジン言語と比べ語彙も多く、何よりきちんと体系だった文法が存在しており、「一個の独立した言語」と見なして全く差し支えない。クレオール言語はピジン言語と違い、母語話者が存在する、つまり幼いころから主にその言語を話して育った人々がいる、ということも特徴である。,387,6,wikipedia_ja_5per,llm_chunk,6,wikipedia_ja_5per.csv
wikipedia_ja_5per_chunk_7,中世の世界においてはしばしば、文語と日常使用する言語との間には隔たりがみられ、なかには中世ヨーロッパにおけるラテン語のようにその土地の言葉と全く異なる言語を文章語として採用している世界も存在した。ラテン語は欧州において知識人の間の共通語として用いられ、ルネサンスなどで大きな役割を果たしたが、やがて印刷術の発展や宗教改革などによって各国において使用される日常言語が文語として用いられるようになった。この際、それまで方言の連続体しか持たなかった各国において、その言語を筆記する標準的な表記法が定まっていき、各国において国内共通語としての標準語が制定されるようになった。これは出版物などによって徐々に定まっていくものもあれば、中央に公的な言語統制機関を置いて国家主導で標準語を制定するものもあったが、いずれにせよこうした言語の整備 と国内共通語の成立は、国民国家を成立させるうえでの重要なピースとなっていった。一方で、標準語の制定は方言連続体のその他の言語を方言とすることになり、言語内での序列をつけることにつながった。,497,7,wikipedia_ja_5per,llm_chunk,5,wikipedia_ja_5per.csv
wikipedia_ja_5per_chunk_8,"最も新しい言語であり、また誕生する瞬間がとらえられた言語としては、ニカラグアの子供達の間で1970年代後半に発生した「ニカラグア手話」がある。これは、言語能力は人間に生得のものであるという考えを裏付けるものとなった。 世界の言語 現在世界に存在する言語の数は千数百とも数千とも言われる。1939年にアメリカのルイス・ハーバート・グレイ（:en:Louis Herbert Gray）は著書 Foundations of Language において「2796言語」と唱え、1979年にドイツのマイヤーが4200から5600言語と唱えており、三省堂の『言語学大辞典』「世界言語編」では8000超の言語を扱っている。 しかし、正確に数えることはほぼ不可能である。これは、未発見の言語や、消滅しつつある言語があるためだけではなく、原理的な困難があるためでもある。似ているが同じではない「言語」が隣り合って存在しているとき、それは一つの言語なのか別の言語なのか区別することは難しい。これはある人間集団を「言語の話者」とするか「方言の話者」とするかの問題でもある。たとえば、旧ユーゴスラビアに属していたセルビア、クロアチア、ボスニア・ヘルツェゴビナ、モンテネグロの4地域の言語は非常に似通ったものであり、学術的には方言連続体であるセルビア・クロアチア語として扱われる。また旧ユーゴスラビアの政治上においても国家統一の観点上、これらの言語は同一言語として扱われていた。しかし1991年からのユーゴスラビア紛争によってユーゴスラビアが崩壊すると、独立した各国は各地方の方言をそれぞれ独立言語として扱うようになり、セルビア語、クロアチア語、ボスニア語の三言語に政治的に分けられるようになった。さらに2006年にモンテネグロがセルビア・モンテネグロから独立すると、モンテネグロ語がセルビア語からさらに分けられるようになった。こうした、明確な標準語を持たず複数の言語中心を持つ言語のことを複数中心地言語と呼び、英語などもこれに含まれる。 逆に、中国においては北京語やそれを元に成立した普通話と、上海語や広東語といった遠隔地の言語とは差異が大きく会話が成立しないほどであるが、書き言葉は共通であり、またあくまでも中国語群には属していて対応関係が明確であるため、これら言語はすべて中国語内の方言として扱われている。 同じ言語かどうかを判定する基準として、相互理解性を提唱する考えがある。話者が相手の言うことを理解できる場合には、同一言語、理解できない場合には別言語とする。相互理解性は言語間の距離を伝える重要な情報であるが、これによって一つの言語の範囲を確定しようとすると、技術的難しさにとどまらない困難に直面する。 一つは、Aの言うことをBが聞き取れても、Bの言うことをAが聞き取れないような言語差があることである。もう一つは、同系列の言語が地理的な広がりの中で徐々に変化している場合に、どこで、いくつに分割すべきなのか、あるいはまったく分割すべきでないのかを決められないことである。 こうした困難に際しても、単一の基準を決めて分類していくことは、理屈の上では可能である。しかしあえて単一基準を押し通す言語学者は現実にはいない。 ある集団を「言語話者」とするか「方言話者」とするかには、政治的・文化的アイデンティティの問題が深く関係し る。どのような基準を設けようと、ある地域で多くの賛成を得られる分類基準は、別の地域で強い反発を受けることになる。そうした反発は誤りだと言うための論拠を言語学はもっていないので、結局は慣習に従って、地域ごとに異なる基準を用いて分類することになる。 言語と方言の区別について、現在なされる説明は二つである。第一は、言語と方言の区別にはなんら言語学的意味はないとする。 第二のものはまず、どの方言もそれぞれ言語だとする。その上で、ある標準語に対して非標準語の関係にある同系言語を、方言とする。標準語の選定は政治によるから、これもまた「言語と方言の区別に言語学的意味はない」とする点で、第一と同じである。この定義では、言語を秤にかけて判定しているのではなく、人々がその言語をどう思っているかを秤にかけているのである。 ある言語同士が独立の言語同士なのか、同じ言語の方言同士なのかの判定は非常に恣意的であるが、その一方で、明確に系統関係が異なる言語同士は、たとえ共通の集団で話されていても、方言同士とはみなされないという事実も有る。 たとえば、中国甘粛省に住む少数民族ユーグ族は西部に住むものはテュルク系の言語を母語とし、東部に住むものはモンゴル系の言語を母語としている。両者は同じ民族だという意識があるが、その言語は方言同士ではなく、西部ユーグ語、東部ユーグ語と別々の言語として扱われる。 また海南島にすむ臨高人も民族籍上は漢民族であるが、その言語は漢語の方言としては扱われず、系統どおりタイ・カダイ語族の臨高語として扱われる。 使用する文字は同言語かどうかの判断基準としてはあまり用いられない。言語は基本的にどの文字でも表記可能なものであり、ある言語が使用する文字を変更することや二種以上の文字を併用することは珍しいことではなく、また文法などに文字はさほど影響を与えないためである。デーヴァナーガリー文字を用いるインドの公用語であるヒンディー語とウルドゥー文字を用いるパキスタンの公用語であるウルドゥー語は、ヒンドゥスターニー語として同一言語または方言連続体として扱われることがある。 話者数の統計順位 母語話者統計で見た話者数下表の母語話者数および分類は、『エスノローグ第21版』に準拠する。同資料は2021年時点の推計で、中国語は13方言、アラビア語は20方言、ラフンダー語は4方言の合計である。 母語話者数と総話者数の差上図の通り、最も母語話者の多い言語は中国語であるが、公用語としている国家は中華人民共和国と中華民国、それにシンガポールの3つの国家にすぎず、世界において広く使用されている言語というわけではない。また、共通語である普通話を含め, 13個の方言が存在する。 上記の資料で話者数2位の言語はスペイン語である。これはヨーロッパ大陸のスペインを発祥とする言語であるが、17世紀のスペインによる新大陸の植民地化を経て、南アメリカおよび北アメリカ南部における広大な言語圏を獲得した。2021年度においてスペイン語を公用語とする国々は21カ国にのぼる。さらにほぼ同系統の言語である5位のポルトガル語圏を合わせた新大陸の領域はラテンアメリカと呼ばれ、広大な共通言語圏を形成している。 上記の資料で英語の話者人口は4位だが、公用語としては55か国と最も多くの国で話されている。さらに、英語はアメリカ合衆国やイギリスの公用語であるため世界で広く重要視されている。世界の一体化に伴い研究やビジネスなども英語で行われる場面が増え、非英語圏どうしの住民の交渉においても共通語として英語を使用する場合があるなど、 英語の世界共通語としての影響力は増大していく傾向にある。英語に次ぐ国際語としては、17世紀から19世紀まで西洋で最も有力な国際語であったフランス語が挙げられる。フランス語の話者は2億3000万人とトップ5にも入らないが、フランス語を公用語とする国々はアフリカの旧フランス植民地を中心に29カ国にのぼる。 話者数7位のアラビア語も広い共通言語圏を持つ言語である。アラビア語はクルアーンの言語としてイスラム圏全域に使用者がおり、とくに北アフリカから中東にかけて母語話者が多いが、公用語とする国々は23カ国にのぼっていて、ひとつのアラブ文化圏を形成している。ただしこれも文語であるフスハーと口語であるアーンミーヤに分かれており、アーンミーヤはさらに多数の方言にわかれている。 国連の公用語は、英語、フランス語、ロシア語、中国語、スペイン語、アラビア語の6つであるが、これは安全保障理事会の常任理事国の言語に、広大な共通言語圏を持つスペイン語とアラビア語を加えたものである。 言語と国家 言語は国家を成立させるうえでの重要な要素であり、カナダにおける英語とフランス語や、ベルギーにおけるオランダ語とフランス語のように、異なる言語間の対立がしばしば言語戦争と呼ばれるほどに激化して独立問題に発展し、国家に大きな影響を及ぼすことも珍しくない。東パキスタンのように、西パキスタンの言語であるウルドゥー語の公用語化に反発してベンガル語を同格の国語とすることを求めたことから独立運動が起き、最終的にバングラデシュとして独立したような例もある。 こうした場合、言語圏別に大きな自治権を与えたり、国家の公用語を複数制定したりすることなどによって少数派言語話者の不満をなだめる政策はよく用いられる。言語圏に強い自治権を与える典型例はベルギーで、同国では1970年に言語共同体が設立され、数度の変更を経てフラマン語共同体、フランス語共同体、ドイツ語共同体の3つの言語共同体の併存する連邦国家となった。公用語を複数制定する例ではスイスが典型的であり、それまでドイツ語のみであった公用語が1848年の憲法によってドイツ語・フランス語・イタリア語の三公用語制となり、さらに1938年にはロマンシュ語が国語とされた。この傾向が特に強いのはインドであり、1956年以降それまでの地理的な区分から同系統の言語を用いる地域へと州を再編する、いわゆる「言語州」政策を取っている。 公用語、共通語、民族語 国家における言語の構造は、公用語-共通語-民族語（部族語、方言）の三層の構造からなっている。もっとも、公用語と共通語、また三層すべてが同じ言語である場合はその分だけ層の数は減少する。 日本を例にとれば、各地方ではその地方の方言を使っている。つまり、同じ地方のコミュニティ内で通用する言語を使用している。これが他地方から来た人を相手にする場合となると、いわゆる標準語を使用することとなる。 日本では他に有力な言語集団が存在しないため、政府関係の文書にも日本標準語がそのまま使用される。つまり、共通語と公用語が同一であるため、公用語-方言の二層構造となっている。 公用語と共通語は分離していない国家も多いが、アフリカ大陸の諸国家においてはこの三層構造が明確にあらわれている。これらの国においては、政府関係の公用語は旧宗主国の言語が使用されている。学校教育もこの言語で行われるが、民族語とかけ離れた存在であることもあり国民の中で使用できる層はさほど多くない。この穴を埋めるために、各地域においては共通語が話されている。 首都がある地域の共通語が強 大化し、国の大部分を覆うようになることも珍しくない。しかし文法の整備などの遅れや、国内他言語話者の反対、公用語の使用能力がエリート層の権力の源泉となっているなどの事情によって、共通語が公用語化はされないことがほとんどである。その下に各民族の民族語が存在する。 言語の生物学 詳細は心理言語学及び、神経言語学を参照 言語機能は基本的にヒトに固有のものであるため、言語の研究には少数の例外を除き動物モデルを作りにくい。そのため、脳梗塞などで脳の局所が破壊された症例での研究や、被験者に2つの単語を呈示しその干渉効果を研究するなどの心理学的研究が主になされてきたが、1980年代後半より脳機能イメージング研究が手法に加わり、被験者がさまざまな言語課題を行っているときの脳活動を視覚化できるようになった。 言語に関する脳の領域 古典的なブローカ領域、ウェルニッケ領域のほか、シルヴィウス裂を囲む広い範囲（縁上回、角回、一次・二次聴覚野、一次運動野、体性感覚野、左前頭前野、左下側頭回）にわたっている。脳梗塞などで各部が損傷されると、それぞれ違ったタイプの失語が出現する。 例えば左前頭前野付近の損傷で生じるブローカ失語は運動失語であり、自発語は非流暢性となり復唱、書字も障害される。左側頭葉付近の障害で生じるウェルニッケ失語は感覚失語であり自発語は流暢であるが、言語理解や復唱が障害され、文字による言語理解も不良である。 ほとんどの右利きの人では、単語、文法、語彙などの主要な言語機能は左半球優位である。しかし声の抑揚（プロソディ）の把握、比喩の理解については右半球優位であると言われている。 文字の認識には左紡錘状回、中・下後頭回が関与するが、漢字（表意文字）とひらがな（表音文字）で活動する部位が異なると言われている。 ヒトの発達における言語機能の獲得 これも多方面から研究されている。個人の言語能力は、読字障害、ウィリアムズ症候群、自閉症などのように全体的な知的能力とは乖離することがあり、個体発生やヒトの進化における言語の起源などにヒントを与えている。 また、ヒトは環境の中で聴取する音声から自力で文法などの規則を見出し学習する機能を生得的に備えているため、特に教わらなくても言語を学習できるとする生得論という考えも存在する。 最近の近赤外線分光法を用いた研究において、生後2から5日の新生児が逆再生よりも順再生の声を聞いたほうが、あるいは外国語より母国語を聞いたときの方が聴覚皮質の血流増加が大きかったと報告されており、出産前から母体内で言語を聴いていることが示唆される。",6079,8,wikipedia_ja_5per,llm_chunk,87,wikipedia_ja_5per.csv
wikipedia_ja_5per_chunk_9,"脚注 注釈 出典 関連項目 「言語」を含む記事名の一覧 言葉 言語学 理論言語学 - 社会言語学・:Category:社会言語学 - 音声学 歴史言語学・:Category:歴史言語学 応用言語学 個別言語学 言語力 言葉遊び 言語聴覚療法 外部リンク 神経科学の立場からの解説。MSN Encarta – Multimedia – Language CIA – The World Factbook – Field Listing – Languages Ethnologue, Languages of the World 言語学 民族 日本語 日本語（にほんご、にっぽんご）は、日本国内や、かつての日本領だった国、そして国外移民や移住者を含む日本人同士の間で使用されている言語。日本は法令によって公用語を規定していないが、法令その他の公用文は全て日本語で記述され、各種法令において日本語を用いることが規定され、学校教育 においては「国語」の教科として学習を行うなど、事実上日本国内において唯一の公用語となっている。使用人口について正確な統計はないが、日本国内の人口、及び日本国外に住む日本人や日系人、日本がかつて統治した地域の一部住民など、約1億3,000万人以上と考えられている。統計によって前後する場合もあるが、この数は世界の母語話者数で上位10位以内に入る人数である。また第一次世界大戦後、日本に委任統治（南洋諸島を参照）されていたパラオでは、現在も一部地域で日本語を公用語と定めている。 特徴日本語の音韻は、「っ」「ん」を除いて母音で終わる開音節言語の性格が強く、また標準語（共通語）を含め多くの方言がモーラを持つ。アクセントは高低アクセントである。なお元来の古い大和言葉では、原則として 「ら行」音が語頭に立たない（しりとりで『ら行』で始まる言葉が見つけにくいのはこのため。『らく（楽）』『らっぱ』『りんご』『れい（礼）』などは大和言葉でない） 濁音が語頭に立たない（『だ（抱）く』『どれ』『ば（場）』『ばら（薔薇）』などは後世の変化） 同一語根内に母音が連続しない（『あ お（青）』『かい（貝）』は古くは『あを 』, 『かひ 』） などの特徴があった（「系統」および「音韻」の節参照）。 文は、「主語・修飾語・述語」の語順で構成される。修飾語は被修飾語の前に位置する。また、名詞の格を示すためには、語順や語尾を変化させるのでなく、文法的な機能を示す機能語（助詞）を後ろに付け加える（膠着させる）。これらのことから、言語類型論上は、語順の点ではSOV型の言語に、形態の点では膠着語に分類される（「文法」の節参照）。 語彙は、古来の大和言葉（和語）のほか、漢語（字音語）、外来語、および、それらの混ざった混種語に分けられる。字音語（漢字の音読みに由来する語の意、一般に「漢語」と称する）は現代の語彙の一部分を占めている。また、「絵/画（ゑ）」など、もともと音であるが和語と認識されているものもある。さらに近代以降には西洋由来の語を中心とする外来語が増大している（「語種」の節参照）。 待遇表現の面では、文法的・語彙的に発達した敬語体系があり、叙述される人物どうしの微妙な関係を表現する（「待遇表現」の節参照）。",1438,9,wikipedia_ja_5per,llm_chunk,19,wikipedia_ja_5per.csv
