question,answer
Regina WilloughbyのColumbia City Balletでの最後のシーズンはどのようなものですか？,Regina WilloughbyにとってColumbia City Balletでの最後のシーズンは、引退の時期と娘Melinaの入団が重なり、親子で同じ舞台を共有する特別なシーズンです。
Melina WilloughbyはColumbia City Balletでどのようにキャリアを始めましたか？,18歳のMelina Willoughbyは、このシーズンがColumbia City Balletでの初シーズンで、トレーニーとしてキャリアを始めました。
The NutcrackerではReginaとMelinaはそれぞれどの役を踊っていますか？,同じ『The Nutcracker』で同時に出演しており、ReginaはSnow Queen、Melinaはsnow corpsを務め、さらに2人ともArabian divertissementにも出ています。
親子で同じ舞台に立つことについてReginaはどうコメントしていますか？,Reginaは「一緒に踊るのはとても現実離れしている」と語り、Melinaがバレエをここまで続けるとは思っていなかったとも話しています。
New York City Balletは、誰が率いる暫定リーダーシップ体制を発表したのですか？,NYCB理事会は、芸術面を運営する暫定チームを発表しました。チームはバレエ・マスター兼元プリンシパルのジョナサン・スタッフォードが率います。
Peter Martinsはなぜ休職しているのですか？,Peter Martinsは、NYCBとSchool of American Balletの両方から一時休職を申し出ました。彼をめぐる性的嫌がらせ疑惑について、内部調査が行われているためです。
NYCBの暫定チームは誰で構成されていますか？,暫定チームは4人で、ジョナサン・スタッフォード、レジデント・コレオグラファー兼ソリストのジャスティン・ペック、バレエ・マスターのクレイグ・ホールとレベッカ・クローンです。
暫定チームの役割と任期はどうなっていますか？,チームは日々の芸術面の運営を担い、スケジュール、配役、リハーサルの指揮を担当します。ただし、任期の長さはまだ発表されていません。
ペンシルベニア・バレエとボストン・バレエは、スーパーボウルに向けて何をしたのですか？,両バレエ団は通常のリハーサルを一時中断し、ゲームデーを祝ってスーパーボウルを意識した振付を披露しました。
ペンシルベニア・バレエの演目は、イーグルスをどう意識していましたか？,イーグルスの緑の衣装で、フェッテ回転や高いジャンプ、そして“鳥”にちなんだ白鳥の腕の動きを取り入れた、速いテンポのルーティンでした。
ボストン・バレエのFacebook動画には、誰が出演していましたか？,ボストン・バレエはFacebookで動画を公開し、プリンシパルのポール・クレイグとソリストのデレク・ダンが出演しました。
ボストン・バレエは『プロディガル・サン』の小道具を使って、どんな演出をしましたか？,『プロディガル・サン』の小道具を使い、バランシン風の要素を加えた演出をしました。
この文では、フットボールを楽しむ方法について何と言っていますか？,「これは正式に、フットボールの楽しみ方として私たちのお気に入りの新しい方法です」と述べています。
